dataset,method,method_id,cache_policy,cache_window_size,num_sequences,num_successful,num_oom,total_frames,abs_rel,sq_rel,rmse,log_rmse,delta_1,delta_2,delta_3,total_inference_sec,fps_inference,peak_allocated_mib,peak_allocated_gib,peak_reserved_mib,peak_reserved_gib,gpu_name,torch_version,cuda_version
bonn,Full cache,full_cache,full_cache,,5,5,0,550,0.07461304262060324,0.06123446484064505,0.30165286681127723,0.1396328632636293,0.9598731495619636,0.9748224190109449,0.9822868008869551,178.41212644300322,3.0827500964499004,21641.4130859375,21.1341924667,44804.0,43.75390625,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,K4,k4,anchor_recent_dino_diverse_k4,4,5,5,0,550,0.07545402951872039,0.06266840027274699,0.3068395436641293,0.1426605622132666,0.9566336968596577,0.9733833152136563,0.9816606424619078,72.07213279899952,7.631243570020103,10565.9697265625,10.3183298111,11558.0,11.287109375,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,K6,k6,anchor_recent_dino_diverse_k6,6,5,5,0,550,0.08379141761000666,0.06526781489895045,0.3212662810801064,0.14708770262094867,0.9556358346584317,0.9730059601824729,0.9815604623713905,74.07469990499885,7.424937268802676,10941.03125,10.6846008301,12302.0,12.013671875,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,K8,k8,anchor_recent_dino_diverse_k8,8,5,5,0,550,0.0843123703222404,0.06609367738082657,0.32332917862374644,0.14741664753418945,0.9563728383045061,0.9739830408998793,0.9819303759029309,77.75889955400635,7.07314536541255,11329.72705078125,11.064186573,12646.0,12.349609375,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,Full cache,full_cache,full_cache,,13,13,0,1269,0.17264024688341345,0.9316698834612619,4.966537359888026,0.21734921607846086,0.7214337692763331,0.9446287672813856,0.9929600407109888,211.76017634800155,5.992628179127298,12725.68212890625,12.427423954,25358.0,24.763671875,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,K4,k4,anchor_recent_dino_diverse_k4,4,13,13,0,1269,0.13337294142937575,0.5868445604887472,4.14942018355722,0.17361754379191383,0.8281883623516894,0.9833742617588648,0.9943808275596745,140.09437667100065,9.058179422719695,8187.26416015625,7.9953751564,10446.0,10.201171875,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,K6,k6,anchor_recent_dino_diverse_k6,6,13,13,0,1269,0.1610024761107437,0.8041319874482169,4.699074440003285,0.20409829174963082,0.7437314314417277,0.9663122130721435,0.9933925488323742,142.5846457220032,8.899976526744437,8332.841796875,8.13754081726,10444.0,10.19921875,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,K8,k8,anchor_recent_dino_diverse_k8,8,13,13,0,1269,0.1923035287031897,1.1300646791922757,5.36593543344886,0.23810053486492733,0.6737298959479746,0.9290755150290242,0.9898377727735996,146.6102654760034,8.655601269664878,8485.193359375,8.28632164001,10410.0,10.166015625,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,Full cache,full_cache,full_cache,,23,23,0,1064,0.323245493976378,1.4716143703819498,3.824677200624793,0.37065317314505536,0.6575031718958047,0.8221036521001983,0.8997889157404801,154.8549352719965,6.870946658116685,10548.36572265625,10.301138401,16094.0,15.716796875,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,K4,k4,anchor_recent_dino_diverse_k4,4,23,23,0,1064,0.3160537516887456,1.440269954435423,3.8334070970850713,0.36877189380354414,0.6502620746184491,0.8227177679162881,0.8983986238713322,124.63257524999062,8.537093916785452,8086.7021484375,7.89717006683,9864.0,9.6328125,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,K6,k6,anchor_recent_dino_diverse_k6,6,23,23,0,1064,0.3299472413918465,1.5072657152401816,3.8534680572815634,0.37336613063840235,0.6379553450136569,0.8166507390197117,0.8953678951213682,124.78524929699051,8.52664883064557,8280.9912109375,8.08690547943,9864.0,9.6328125,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,K8,k8,anchor_recent_dino_diverse_k8,8,23,23,0,1064,0.3350447178901851,1.546500631149456,3.889924219179374,0.3778314421039858,0.6380484517476986,0.814082290815208,0.8948554284824186,129.02854573700097,8.24623724868412,8467.21044921875,8.26876020432,9866.0,9.634765625,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
