dataset,sequence,method,method_id,cache_policy,cache_window_size,num_frames,valid_pixels,abs_rel,sq_rel,rmse,log_rmse,delta_1,delta_2,delta_3,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
bonn,balloon2,Full cache,full_cache,full_cache,,110,28476008,0.04905746777180099,0.02813008623162032,0.24249945158526232,0.10768011685137317,0.9791742563247681,0.9875792860984802,0.9909176826477051,36.41109704799965,3.0210570105863694,20378.94189453125,44804.0
bonn,balloon2,K4,k4,anchor_recent_dino_diverse_k4,4,110,28476008,0.0522497205193367,0.02934448346015807,0.2476497636132152,0.10888307844841243,0.9783028364181519,0.987518310546875,0.9911273121833801,14.785875489000318,7.439532416043439,9300.73095703125,10236.0
bonn,balloon2,K6,k6,anchor_recent_dino_diverse_k6,6,110,28476008,0.055847873712253075,0.030075753064258564,0.2580962552006412,0.1126286870277401,0.9762884378433228,0.9865559935569763,0.99057537317276,15.296761608999077,7.191064541091302,9679.96533203125,10868.0
bonn,balloon2,K8,k8,anchor_recent_dino_diverse_k8,8,110,28476008,0.05408738701386108,0.02805234974145476,0.246667341379933,0.10888556569100276,0.9783647060394287,0.9877394437789917,0.9913746118545532,15.88184965900291,6.926145402569312,10071.82373046875,11100.0
bonn,crowd2,Full cache,full_cache,full_cache,,110,28310280,0.0576853205658854,0.031749530618614845,0.2534535753172686,0.11611504262211648,0.9781057834625244,0.9883612990379333,0.9926729202270508,35.74315026600016,3.077512731289244,21635.76416015625,43496.0
bonn,crowd2,K4,k4,anchor_recent_dino_diverse_k4,4,110,28310280,0.061115417952246516,0.03512033722166547,0.26904332921073637,0.12427521982829105,0.9718385338783264,0.9858366847038269,0.9916309118270874,14.60441232499943,7.531970308158517,10565.9697265625,11558.0
bonn,crowd2,K6,k6,anchor_recent_dino_diverse_k6,6,110,28310280,0.07017971837382218,0.038461879991347085,0.28435090805520863,0.1289348739487488,0.9716039299964905,0.9862862825393677,0.9917796850204468,14.928094860999408,7.3686562836214256,10941.03125,11918.0
bonn,crowd2,K8,k8,anchor_recent_dino_diverse_k8,8,110,28310280,0.07529946933561533,0.04093761547411358,0.29533507054473945,0.13179249167651383,0.9714723229408264,0.9870385527610779,0.9917545318603516,15.655888158002199,7.026110488900986,11324.626953125,12646.0
bonn,crowd3,Full cache,full_cache,full_cache,,110,28106444,0.1576743974392614,0.21746145411696324,0.6143006416758402,0.3116487186497595,0.8607560396194458,0.9061959981918335,0.93220454454422,35.275553988001775,3.1183068035562007,21617.11767578125,43496.0
bonn,crowd3,K4,k4,anchor_recent_dino_diverse_k4,4,110,28106444,0.16211136330077153,0.2204888588175324,0.6145199806891337,0.31755787236182975,0.8548356890678406,0.9032754302024841,0.9312379360198975,14.155225790000259,7.77098165948775,10548.88720703125,11558.0
bonn,crowd3,K6,k6,anchor_recent_dino_diverse_k6,6,110,28106444,0.16688060221328993,0.22146139860473577,0.6154458853509921,0.31357696591387163,0.8520934581756592,0.9015153646469116,0.9310466647148132,14.598095794000983,7.535229358147106,10923.2568359375,12206.0
bonn,crowd3,K8,k8,anchor_recent_dino_diverse_k8,8,110,28106444,0.16406453197594298,0.2232908644979446,0.6160378745330477,0.3144814311191361,0.8554728031158447,0.9039185643196106,0.931710958480835,15.460406500002136,7.114948756359336,11312.841796875,12646.0
bonn,person_tracking2,Full cache,full_cache,full_cache,,110,29241080,0.056061668675243446,0.01518576179448639,0.21062627914971183,0.07897211252373763,0.9891893267631531,0.9969255924224854,0.9991276264190674,35.6706581239996,3.0837670451050867,21641.4130859375,43496.0
bonn,person_tracking2,K4,k4,anchor_recent_dino_diverse_k4,4,110,29241080,0.04517334147952291,0.012074871795967546,0.1922030406323386,0.07157129810634896,0.9877705574035645,0.9964177012443542,0.998947262763977,14.327608995001356,7.677484780494569,10542.19287109375,11558.0
bonn,person_tracking2,K6,k6,anchor_recent_dino_diverse_k6,6,110,29241080,0.054880444185417356,0.014554520107556736,0.20695994361692122,0.07824841298114268,0.987891435623169,0.9967072606086731,0.9989997744560242,14.706889844997932,7.479487584345572,10922.0380859375,12206.0
bonn,person_tracking2,K8,k8,anchor_recent_dino_diverse_k8,8,110,29241080,0.05150406038560335,0.014184644990608983,0.20651724601776197,0.07657874963814877,0.9866762757301331,0.9969018697738647,0.9990733861923218,15.497096547002002,7.09810380714703,11329.72705078125,12646.0
bonn,synchronous,Full cache,full_cache,full_cache,,110,28499904,0.054081471596425956,0.016775928348676708,0.19369766524932572,0.08751741082320182,0.990147054195404,0.9936284422874451,0.99545818567276,35.31166701700204,3.115117729985295,21624.91845703125,43496.0
bonn,synchronous,K4,k4,anchor_recent_dino_diverse_k4,4,110,28499904,0.05848929585623949,0.019596782687959436,0.21770949772775347,0.09512803347817585,0.9883250594139099,0.9923962354660034,0.9942883849143982,14.199010199998156,7.747018873189787,10537.2890625,11558.0
bonn,synchronous,K6,k6,anchor_recent_dino_diverse_k6,6,110,28499904,0.07295342211926387,0.025052881322681728,0.24821385584489686,0.10598864791407252,0.9881571531295776,0.9924612641334534,0.9943254590034485,14.544857796001452,7.562810275824097,10908.3681640625,12302.0
bonn,synchronous,K8,k8,anchor_recent_dino_diverse_k8,8,110,28499904,0.07847534599949768,0.02732381130148455,0.2589167028875079,0.10935740625103318,0.9878159165382385,0.9928518533706665,0.9946725368499756,15.2636586899971,7.206660095989141,11307.2080078125,12646.0
kitti,2011_09_26_drive_0002_sync_02,Full cache,full_cache,full_cache,,67,7552244,0.16294789581838676,0.5582833407664229,3.625628725490919,0.18690483194458682,0.7318026423454285,0.9957541227340698,0.9993149042129517,9.666985448999185,6.930805922226401,10074.8388671875,15256.0
kitti,2011_09_26_drive_0002_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,67,7552244,0.14013430899778812,0.4315098782813699,3.2021417047422145,0.16318451722732596,0.8051062822341919,0.9974361062049866,0.99961918592453,8.001616240999283,8.373308339470263,7489.94189453125,9914.0
kitti,2011_09_26_drive_0002_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,67,7552244,0.1746792272478485,0.6600937573914395,3.886574865518147,0.20178866870489195,0.6716328263282776,0.9955366849899292,0.9992746710777283,8.130965046999336,8.240104294228368,7624.4814453125,9936.0
kitti,2011_09_26_drive_0002_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,67,7552244,0.21223361902925322,0.9320513848597299,4.604963026000652,0.23923280976807737,0.5574687123298645,0.9853510856628418,0.9989780187606812,8.494938204999926,7.8870497210403885,7789.4052734375,9918.0
kitti,2011_09_26_drive_0005_sync_02,Full cache,full_cache,full_cache,,110,5903414,0.18864365638279829,1.0726139166268212,4.887360981984805,0.23695861036864407,0.6995260715484619,0.9673300385475159,0.9830023646354675,19.289904548000777,5.702464712890479,12529.2939453125,25218.0
kitti,2011_09_26_drive_0005_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,110,5903414,0.1526136038185439,0.8583608774012492,4.379920528510738,0.20518589542807977,0.7969074845314026,0.9741210341453552,0.9849177002906799,12.232330188999185,8.992563011332503,7984.08740234375,10282.0
kitti,2011_09_26_drive_0005_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,110,5903414,0.17764972485018404,1.0693362593244395,4.885017238003194,0.22841449131686453,0.7410743832588196,0.9665332436561584,0.9847867488861084,12.71894534799867,8.648515815606405,8132.65771484375,10300.0
