dataset,method,method_id,cache_policy,cache_window_size,abs_rel,delta_1,total_inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib,on_joint_pareto_front,dominated_by
bonn,Full cache,full_cache,full_cache,,0.07461304262060324,0.9598731495619636,178.41212644300322,3.0827500964499004,21641.4130859375,44804.0,yes,
bonn,K4,k4,anchor_recent_dino_diverse_k4,4,0.07545402951872039,0.9566336968596577,72.07213279899952,7.631243570020103,10565.9697265625,11558.0,yes,
bonn,K6,k6,anchor_recent_dino_diverse_k6,6,0.08379141761000666,0.9556358346584317,74.07469990499885,7.424937268802676,10941.03125,12302.0,no,K4
bonn,K8,k8,anchor_recent_dino_diverse_k8,8,0.0843123703222404,0.9563728383045061,77.75889955400635,7.07314536541255,11329.72705078125,12646.0,no,K4 K6
kitti,Full cache,full_cache,full_cache,,0.17264024688341345,0.7214337692763331,211.76017634800155,5.992628179127298,12725.68212890625,25358.0,no,K4 K6
kitti,K4,k4,anchor_recent_dino_diverse_k4,4,0.13337294142937575,0.8281883623516894,140.09437667100065,9.058179422719695,8187.26416015625,10446.0,yes,
kitti,K6,k6,anchor_recent_dino_diverse_k6,6,0.1610024761107437,0.7437314314417277,142.5846457220032,8.899976526744437,8332.841796875,10444.0,no,K4
kitti,K8,k8,anchor_recent_dino_diverse_k8,8,0.1923035287031897,0.6737298959479746,146.6102654760034,8.655601269664878,8485.193359375,10410.0,no,K4 K6
sintel,Full cache,full_cache,full_cache,,0.323245493976378,0.6575031718958047,154.8549352719965,6.870946658116685,10548.36572265625,16094.0,no,K4
sintel,K4,k4,anchor_recent_dino_diverse_k4,4,0.3160537516887456,0.6502620746184491,124.63257524999062,8.537093916785452,8086.7021484375,9864.0,yes,
sintel,K6,k6,anchor_recent_dino_diverse_k6,6,0.3299472413918465,0.6379553450136569,124.78524929699051,8.52664883064557,8280.9912109375,9864.0,no,K4
sintel,K8,k8,anchor_recent_dino_diverse_k8,8,0.3350447178901851,0.6380484517476986,129.02854573700097,8.24623724868412,8467.21044921875,9866.0,no,K4 K6
