dataset,method,method_id,cache_policy,cache_window_size,num_sequences,num_successful,num_failed,total_frames,mean_ate,mean_rpe_trans,mean_rpe_rot_deg,total_inference_sec,fps_inference,max_peak_allocated_mb,max_peak_reserved_mb,peak_allocated_gib,peak_reserved_gib,aggregation
scannet,Full cache,full_cache,full_cache,,6,6,0,537,0.034642854189601634,0.013853972971903225,0.3836297137019411,122.98863324604463,4.366257155860135,17480.63818359375,43982.0,17.0709357262,42.951171875,sequence_equal_mean
scannet,K4,k4,anchor_recent_dino_diverse_k4,4,6,6,0,537,0.13013095134706057,0.05584112419336044,2.181181880713036,41.156684013898484,13.047698396174404,8626.92626953125,9464.0,8.42473268509,9.2421875,sequence_equal_mean
scannet,K6,k6,anchor_recent_dino_diverse_k6,6,6,6,0,537,0.13812570373394867,0.048223427175675376,2.1731496711921663,41.93093084706925,12.806775073955542,9004.71142578125,10052.0,8.79366350174,9.81640625,sequence_equal_mean
scannet,K8,k8,anchor_recent_dino_diverse_k8,8,6,6,0,537,0.0625833251137735,0.018921747120634,0.45285692356088564,46.180459362920374,11.62829489806186,9384.3486328125,10632.0,9.16440296173,10.3828125,sequence_equal_mean
sintel,Full cache,full_cache,full_cache,,14,14,0,643,0.23260261340068514,0.09363654624763659,0.7114660848876946,62.14816059882287,10.346243457641108,10055.974609375,12724.0,9.82028770447,12.42578125,sequence_equal_mean
sintel,K4,k4,anchor_recent_dino_diverse_k4,4,14,14,0,643,0.3830854535475381,0.1069797067271214,1.37546563454687,42.97688872204162,14.961529769143656,7572.52587890625,8004.0,7.39504480362,7.81640625,sequence_equal_mean
sintel,K6,k6,anchor_recent_dino_diverse_k6,6,14,14,0,643,0.3938777276735141,0.0901956988380926,1.054118353153147,42.0105412438279,15.305682358816744,7784.80517578125,8172.0,7.60234880447,7.98046875,sequence_equal_mean
sintel,K8,k8,anchor_recent_dino_diverse_k8,8,14,14,0,643,0.3990961580444058,0.0871562304239639,1.0102795135829976,44.27540051122196,14.52273706337284,7998.97900390625,8476.0,7.8115029335,8.27734375,sequence_equal_mean
tum,Full cache,full_cache,full_cache,,8,8,0,720,0.026946785083056837,0.012239734667582068,0.3180880762394265,166.63470437179785,4.320828621590885,17480.63818359375,43982.0,17.0709357262,42.951171875,sequence_equal_mean
tum,K4,k4,anchor_recent_dino_diverse_k4,4,8,8,0,720,0.02500388894549827,0.015563643098223811,0.3553280215967438,53.3728636179585,13.490001307663391,8626.92626953125,9464.0,8.42473268509,9.2421875,sequence_equal_mean
tum,K6,k6,anchor_recent_dino_diverse_k6,6,8,8,0,720,0.027910397514998325,0.013987245937960847,0.33177777273272585,56.966876120190136,12.638923687528978,9004.71142578125,10002.0,8.79366350174,9.767578125,sequence_equal_mean
tum,K8,k8,anchor_recent_dino_diverse_k8,8,8,8,0,720,0.03171216557572696,0.014186236352388831,0.33283763006586164,61.57152245985344,11.693717667440536,9384.3486328125,10632.0,9.16440296173,10.3828125,sequence_equal_mean
