dataset,sequence,method,method_id,cache_policy,cache_window_size,status,num_frames,ate,rpe_trans,rpe_rot_deg,align_scale,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
scannet,scene0707_00,Full cache,full_cache,full_cache,,ok,90,0.04589424695596126,0.0177674630286129,0.4244748942791279,2.218786698756,20.997077672043815,4.286310762179486,17480.63818359375,43860.0
scannet,scene0707_00,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.09077941741905832,0.029644338218146996,0.553816408675422,2.2374130410561595,7.464443075004965,12.057162081035782,8625.76220703125,9464.0
scannet,scene0707_00,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.10541360877818683,0.024867504034183623,0.48417654644808705,2.1597866091789917,7.080690914066508,12.710624018512926,9002.40478515625,10002.0
scannet,scene0707_00,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.0930137087153911,0.021860999015011286,0.455061992030992,2.160873345610289,7.813595765037462,11.518384455299307,9383.80859375,10632.0
scannet,scene0708_00,Full cache,full_cache,full_cache,,ok,90,0.03645171968792906,0.016623058067814084,0.31653714428740065,2.6853930866770557,20.525512625928968,4.384786954665726,17479.05224609375,43982.0
scannet,scene0708_00,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.4124778273525973,0.20589828348794997,10.17672128214178,1.4880660972972541,6.432984403916635,13.990396113070744,8626.92626953125,9464.0
scannet,scene0708_00,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.4503825383529023,0.18825749936151553,10.60558280148069,1.2368487648139008,7.504498152062297,11.992807270565757,9004.71142578125,9928.0
scannet,scene0708_00,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.058149658262890695,0.026050602768899676,0.3929444346176163,2.8128077868056383,7.347821142990142,12.248528951451199,9384.3486328125,10632.0
scannet,scene0709_00,Full cache,full_cache,full_cache,,ok,90,0.03502686728096993,0.015908893320225135,0.35818986254787666,2.3105519482055152,20.654673150042072,4.357367427032689,17479.05224609375,43982.0
scannet,scene0709_00,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.10846603774563257,0.03544562683130744,0.521314215469296,2.268018492727691,6.506426550913602,13.83247767353381,8626.92626953125,9464.0
scannet,scene0709_00,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.10189768610601503,0.028479736490736384,0.4582603328241287,2.2607433784010222,6.662518408964388,13.508405452044292,9004.71142578125,9928.0
scannet,scene0709_00,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.07325526174504564,0.01939209601847503,0.38399956349162273,2.347010204791802,8.060298918979242,11.165838997370289,9384.3486328125,10632.0
scannet,scene0710_00,Full cache,full_cache,full_cache,,ok,90,0.01674924695417668,0.0068235727040659045,0.3934679823715659,1.3160147454269147,20.444409546093084,4.402181427499282,17479.05224609375,43982.0
scannet,scene0710_00,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.01618426717630536,0.01006333278179332,0.5838882537274902,1.4738292789043785,7.192146687069908,12.513649111440209,8626.92626953125,9464.0
scannet,scene0710_00,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.021609843092429467,0.00890657038510695,0.4624727371917641,1.4818443145280484,7.431743939989246,12.110212720828784,9004.71142578125,9928.0
scannet,scene0710_00,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.026886620921863096,0.008312431410277888,0.42214571596896244,1.4685456542058701,7.947055196855217,11.324949653755331,9384.3486328125,10632.0
scannet,scene0711_00,Full cache,full_cache,full_cache,,ok,87,0.0626618760620052,0.019234798168011498,0.5505294647331032,1.6458580871762607,19.94432321493514,4.362143506321177,17129.07763671875,41984.0
scannet,scene0711_00,K4,k4,anchor_recent_dino_diverse_k4,4,ok,87,0.1386758590078849,0.04673644553317097,0.9830703110586484,1.466369144914463,6.277106698951684,13.859888667262824,8608.76953125,9418.0
scannet,scene0711_00,K6,k6,anchor_recent_dino_diverse_k6,6,ok,87,0.13550926660066295,0.031804633657248796,0.7637037472071285,1.3588893269015092,6.509771056007594,13.364525303806401,8983.337890625,10052.0
scannet,scene0711_00,K8,k8,anchor_recent_dino_diverse_k8,8,ok,87,0.1105572104482581,0.030747297445713813,0.7925959354568416,1.3537315962642653,7.081686323042959,12.285209487027464,9365.49169921875,10404.0
scannet,scene0712_00,Full cache,full_cache,full_cache,,ok,90,0.011073168196567697,0.006766052542689839,0.2585789339925723,2.0446330546877447,20.42263703700155,4.406874579269014,17479.05224609375,43982.0
scannet,scene0712_00,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.014202299380884931,0.007258718307793972,0.2682808132055764,2.076713997585862,7.283576598041691,12.356566693373964,8626.92626953125,9464.0
scannet,scene0712_00,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.013941279473495414,0.007024619125260978,0.26470186200120144,2.076669561691213,6.741708375979215,13.34973199384759,9004.71142578125,9928.0
scannet,scene0712_00,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.013637490589192346,0.0071670560654262935,0.27039389979927864,2.0696767422909836,7.930002016015351,11.349303545981064,9384.3486328125,10632.0
sintel,alley_2,Full cache,full_cache,full_cache,,ok,50,0.029216151193076256,0.011150606170567866,0.12011572063047056,6.256878487715463,5.813969495007768,8.599976323049695,10055.4169921875,12716.0
sintel,alley_2,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.025700584425600553,0.014689547178253489,0.1700274750554374,6.718031972808288,3.609339384944178,13.852950545068595,7569.60498046875,7878.0
sintel,alley_2,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.031897494822096674,0.013666505526463752,0.1659178922868205,6.7451646310579525,3.456003459985368,14.467578108330855,7784.80517578125,8160.0
sintel,alley_2,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.039658257830037895,0.013433135764615873,0.13424053807535302,6.839144882122276,4.338151674019173,11.525645887267109,7998.68310546875,8420.0
sintel,ambush_4,Full cache,full_cache,full_cache,,ok,33,0.10052301014063547,0.08344373790243734,1.215594791862454,2.547070762048388,2.629154867026955,12.551561877873082,8933.8330078125,10802.0
