dataset,method,cache_policy,cache_window_size,num_sequences,num_successful,num_failed,total_frames,mean_ate,mean_rpe_trans,mean_rpe_rot_deg,total_inference_sec,fps_inference,max_peak_allocated_mb,max_peak_reserved_mb
scannet,Full cache,full_cache,,6,6,0,537,0.034642854189601634,0.013853972971903225,0.3836297137019411,122.98863324604463,4.366257155860135,17480.63818359375,43982.0
scannet,K4,anchor_recent_dino_diverse_2old_1recent,4,6,6,0,537,0.13013095134706057,0.05584112419336044,2.181181880713036,41.156684013898484,13.047698396174404,8626.92626953125,9464.0
scannet,K6,anchor_recent_dino_diverse,6,6,6,0,537,0.13812570373394867,0.048223427175675376,2.1731496711921663,41.93093084706925,12.806775073955542,9004.71142578125,10052.0
scannet,Uniform K6,anchor_recent_uniform,6,6,6,0,537,0.13517104752926265,0.03884428192562709,1.375192678015222,42.269367364933714,12.704235560560823,9004.68408203125,10052.0
scannet,FIFO K6,fifo,6,6,6,0,537,0.4298369919289365,0.09766737331756459,2.567862304530272,42.45984133298043,12.647244623189122,9004.68408203125,10052.0
sintel,Full cache,full_cache,,14,14,0,643,0.23260261340068514,0.09363654624763659,0.7114660848876946,62.14816059882287,10.346243457641108,10055.974609375,12724.0
sintel,K4,anchor_recent_dino_diverse_2old_1recent,4,14,14,0,643,0.3830854535475381,0.1069797067271214,1.37546563454687,42.97688872204162,14.961529769143656,7572.52587890625,8004.0
sintel,K6,anchor_recent_dino_diverse,6,14,14,0,643,0.3938777276735141,0.0901956988380926,1.054118353153147,42.0105412438279,15.305682358816744,7784.80517578125,8172.0
sintel,Uniform K6,anchor_recent_uniform,6,14,14,0,643,0.4087095366301686,0.09369457450310008,1.0999118768295673,43.77863226481713,14.68753057680035,7784.77783203125,8160.0
sintel,FIFO K6,fifo,6,14,14,0,643,0.6621503280170724,0.1571823944220014,1.6498582729572413,43.927710405085236,14.637685280441202,7784.77783203125,8160.0
tum,Full cache,full_cache,,8,8,0,720,0.026946785083056837,0.012239734667582068,0.3180880762394265,166.63470437179785,4.320828621590885,17480.63818359375,43982.0
tum,K4,anchor_recent_dino_diverse_2old_1recent,4,8,8,0,720,0.02500388894549827,0.015563643098223811,0.3553280215967438,53.3728636179585,13.490001307663391,8626.92626953125,9464.0
tum,K6,anchor_recent_dino_diverse,6,8,8,0,720,0.027910397514998325,0.013987245937960847,0.33177777273272585,56.966876120190136,12.638923687528978,9004.71142578125,10002.0
tum,Uniform K6,anchor_recent_uniform,6,8,8,0,720,0.03353089319533168,0.014591286742083306,0.33894263335215025,56.888406260171905,12.656357372839228,9004.68408203125,10002.0
tum,FIFO K6,fifo,6,8,8,0,720,0.2021084302365395,0.03206269350084054,1.9503535806003287,56.600413427106105,12.7207551394879,9004.68408203125,10002.0
