task,dataset,method,method_id,cache_policy,cache_window_size,protocol,sampling_stride,num_sequences,num_successful,num_failed,total_frames,mean_acc,mean_acc_med,mean_comp,mean_comp_med,mean_nc,mean_nc_med,mean_overall,mean_ate,mean_rpe_trans,mean_rpe_rot_deg,total_inference_sec,fps_inference,mean_final_frame_ms,max_peak_allocated_mb,max_peak_reserved_mb,peak_allocated_gib,peak_reserved_gib,aggregation
static,7scenes,Full cache,full_cache,full_cache,,dense,50,18,12,6,208,0.04446465372364575,0.025446278939385114,0.042358909039845676,0.016737143746406554,0.73539453702968,0.846051088476759,0.04341178138174571,0.07660670109261129,0.07616379275216349,1.9801977890021787,21.052870692918077,9.879887785088073,140.0351994832357,9429.16748046875,10700.0,9.20817136765,10.44921875,sequence_equal_mean
static,7scenes,K4,k4,anchor_recent_dino_diverse_k4,4,dense,50,18,12,6,208,0.07068387373887397,0.03477252374804119,0.05061872265407678,0.021374705673197034,0.7266184389704583,0.8326562737112916,0.060651298196475384,0.14227679999687873,0.1606034871842806,7.994397250164515,17.155938354786485,12.12408180179595,78.03812408447266,8259.46044921875,9116.0,8.06587934494,8.90234375,sequence_equal_mean
static,7scenes,K6,k6,anchor_recent_dino_diverse_k6,6,dense,50,18,12,6,208,0.05386291335575233,0.03242331520729488,0.04537562349438429,0.018788827313103152,0.7306378165700095,0.8385448681592075,0.0496192684250683,0.090058906173284,0.09621049924797072,2.0949259165780294,17.229789415141568,12.072115043797881,82.52848625183105,8649.71044921875,9706.0,8.44698286057,9.478515625,sequence_equal_mean
static,7scenes,K8,k8,anchor_recent_dino_diverse_k8,8,dense,50,12,12,0,208,0.05083449663993982,0.030617277291558557,0.04467566301732814,0.018179215049004643,0.732161527981044,0.84065055924097,0.04775507982863398,0.08359645220603175,0.08097075640118163,2.0195064386004398,18.752532898448408,11.091834960450063,88.66194661458333,9047.68896484375,10160.0,8.83563375473,9.921875,sequence_equal_mean
static,nrgbd,Full cache,full_cache,full_cache,,dense,100,9,9,0,114,0.08767976490099849,0.05321434207177486,0.06409865784015982,0.02548476925478123,0.8475596854843244,0.9821549744087711,0.07588921137057916,0.13788572941442917,0.15156296310712106,0.8346120657942806,9.843967735767365,11.580696225343061,101.21104261610243,9055.66357421875,10576.0,8.8434214592,10.328125,sequence_equal_mean
static,nrgbd,K4,k4,anchor_recent_dino_diverse_k4,4,dense,100,9,9,0,114,0.08460537100932612,0.0523519414243143,0.05826685637542171,0.02832358335844935,0.8479443461011833,0.9865554481756345,0.07143611369237393,0.17139410344499695,0.18482996241365088,0.881177540619729,9.686685080174357,11.768731930113294,77.45264943440755,8230.42919921875,9054.0,8.03752851486,8.841796875,sequence_equal_mean
static,nrgbd,K6,k6,anchor_recent_dino_diverse_k6,6,dense,100,9,9,0,114,0.0969855212953653,0.06383145877469289,0.0717748427729574,0.03291007014444688,0.8284301959351148,0.9806882647959507,0.08438018203416137,0.17187076947828495,0.1744502272442346,0.8478377824629432,9.237167893676087,12.34144505244364,82.02857971191406,8618.45849609375,9684.0,8.41646337509,9.45703125,sequence_equal_mean
static,nrgbd,K8,k8,anchor_recent_dino_diverse_k8,8,dense,100,9,9,0,114,0.10575082398397595,0.06979386138075186,0.07553381917884056,0.03207697082460394,0.8369982796818183,0.979272286896561,0.09064232158140828,0.16113619367524434,0.16497137751846067,0.8402192248366348,10.136737924069166,11.246221501821886,87.48327891031902,9019.81787109375,9994.0,8.80841588974,9.759765625,sequence_equal_mean
static,eth3d,Full cache,full_cache,full_cache,,dense,random_10,13,13,0,130,0.7587073677273334,0.6072228256886347,0.7649594643536707,0.41795135632680996,0.8025109815602618,0.9385767032912116,0.7618334160405021,1.6800185650550483,2.872671701441218,38.82417254238142,11.399695077445358,11.40381379649434,89.69192152756911,8260.5537109375,9228.0,8.06694698334,9.01171875,sequence_equal_mean
static,eth3d,K4,k4,anchor_recent_dino_diverse_k4,4,dense,random_10,13,13,0,130,0.8487757704601541,0.6566345538142281,0.9195944936967815,0.4802011754502634,0.7811935351202427,0.9259090610875624,0.8841851320784677,1.711709213435367,2.9856926594418427,43.5977984796251,10.270411542383954,12.657720624292002,78.43414717454176,8160.60107421875,8902.0,7.96933698654,8.693359375,sequence_equal_mean
static,eth3d,K6,k6,anchor_recent_dino_diverse_k6,6,dense,random_10,13,13,0,130,0.7529425095907735,0.5936055791655035,0.7560637430143126,0.3970323884597858,0.7974050849499374,0.9362674084383866,0.7545031263025431,1.7039538963830199,2.8330428648475388,39.25865304168276,10.47889676480554,12.405886126926879,82.48542844332181,8554.20654296875,9518.0,8.35371732712,9.294921875,sequence_equal_mean
static,eth3d,K8,k8,anchor_recent_dino_diverse_k8,8,dense,random_10,13,13,0,130,0.7613477753702689,0.6180681017179813,0.76639302757521,0.4174440002826385,0.8031631064520817,0.9376623767236598,0.7638704014727395,1.684272701885553,2.8665409066153056,39.46586085696984,11.340258191339672,11.463583792058492,112.38092803955078,8950.82958984375,9936.0,8.74104452133,9.703125,sequence_equal_mean
