task,dataset,method,method_id,cache_policy,cache_window_size,protocol,sampling_stride,prefix_frames,num_sequences,mean_acc,mean_acc_med,mean_comp,mean_comp_med,mean_nc,mean_nc_med,mean_overall,mean_final_frame_ms
dynamic,tum,Full cache,full_cache,full_cache,,paper,first_50,10,8,0.0892626411538483,0.024144176850190057,0.09129965249806354,0.014752900937766246,0.675383840976646,0.7776462574908914,0.09028114682595592,89.13958740234375
dynamic,tum,K4,k4,anchor_recent_dino_diverse_k4,4,paper,first_50,10,8,0.08767219486348297,0.021961179693235758,0.09193451618578959,0.014086167375006045,0.6741272758934551,0.7743293418715455,0.08980335552463628,76.9684476852417
dynamic,tum,K6,k6,anchor_recent_dino_diverse_k6,6,paper,first_50,10,8,0.08942134924963219,0.024579678451033662,0.0919086282918224,0.015182385510772965,0.6795585262676513,0.7815332049819748,0.09066498877072729,81.74643516540527
dynamic,tum,K8,k8,anchor_recent_dino_diverse_k8,8,paper,first_50,10,8,0.08928947404734405,0.0245604678326663,0.09047131238923944,0.014720576058435554,0.6760583526164026,0.7793937449137986,0.08988039321829175,89.80243682861328
dynamic,tum,Full cache,full_cache,full_cache,,paper,first_50,20,8,0.0902433444350442,0.026261919967864575,0.06156353978473399,0.012490267829501215,0.6549610742573766,0.7476128591806432,0.07590344210988909,133.2696533203125
dynamic,tum,K4,k4,anchor_recent_dino_diverse_k4,4,paper,first_50,20,8,0.09159579704249718,0.025835543390618495,0.06380527556102324,0.00989613346784671,0.6509686937321846,0.7427000179698251,0.07770053630176021,77.40571308135986
dynamic,tum,K6,k6,anchor_recent_dino_diverse_k6,6,paper,first_50,20,8,0.09312319737026464,0.0307776057076153,0.0619371021467636,0.009986209053731987,0.6484203219386273,0.7393262331293956,0.07753014975851412,81.69410419464111
dynamic,tum,K8,k8,anchor_recent_dino_diverse_k8,8,paper,first_50,20,8,0.0971767053668036,0.03391064847040312,0.05658039345277437,0.009496926658239004,0.6493509409958644,0.740389028741658,0.076878549409789,104.03344821929932
dynamic,tum,Full cache,full_cache,full_cache,,paper,first_50,30,8,0.09214278957292757,0.02239876774225973,0.0518541444260575,0.010971891525187401,0.6252600591891173,0.7007282732891409,0.07199846699949253,228.7594509124756
dynamic,tum,K4,k4,anchor_recent_dino_diverse_k4,4,paper,first_50,30,8,0.0930948422247848,0.023602185888781064,0.05172805955705069,0.008556392063587211,0.6249836869687204,0.7000817828894483,0.07241145089091774,76.73408031463623
dynamic,tum,K6,k6,anchor_recent_dino_diverse_k6,6,paper,first_50,30,8,0.09580475480252741,0.027007337607981307,0.05345405077465941,0.008985634994408147,0.6226667441327502,0.6980968310130997,0.07462940278859342,81.80818557739258
dynamic,tum,K8,k8,anchor_recent_dino_diverse_k8,8,paper,first_50,30,8,0.10376087490542785,0.03438982501599494,0.047129871929186565,0.009591006408212626,0.6247664450423027,0.7020248669189303,0.0754453734173072,90.41850852966309
dynamic,tum,Full cache,full_cache,full_cache,,paper,first_50,40,8,0.07902697249103802,0.016616370299539704,0.047560332122140656,0.007257765762963701,0.6073491041299045,0.6698904165727411,0.06329365230658934,253.2192497253418
dynamic,tum,K4,k4,anchor_recent_dino_diverse_k4,4,paper,first_50,40,8,0.08603549129244795,0.020592379544869296,0.044384449356248454,0.006355968737265999,0.6102936057952364,0.6749691946750804,0.06520997032434821,78.14425659179688
dynamic,tum,K6,k6,anchor_recent_dino_diverse_k6,6,paper,first_50,40,8,0.09017615720876751,0.02423419525263259,0.04547030946120649,0.006597083359903262,0.6104173795906136,0.6751106531601215,0.06782323333498701,81.70907974243164
dynamic,tum,K8,k8,anchor_recent_dino_diverse_k8,8,paper,first_50,40,8,0.09608041828534336,0.032689999235571685,0.04086320099367445,0.008333725927039619,0.6115550526802349,0.6770280689732074,0.06847180963950891,89.52723693847656
dynamic,tum,Full cache,full_cache,full_cache,,paper,first_50,50,8,0.09002261941538972,0.026194584592176825,0.04446685087908464,0.006749472007101885,0.596402543296153,0.6522008322434727,0.06724473514723718,269.4675636291504
dynamic,tum,K4,k4,anchor_recent_dino_diverse_k4,4,paper,first_50,50,8,0.09393730865340849,0.02707815241425454,0.04512743690953623,0.006065111725618067,0.5996391740552319,0.6577608290122314,0.06953237278147235,77.06524467468262
dynamic,tum,K6,k6,anchor_recent_dino_diverse_k6,6,paper,first_50,50,8,0.10313816523730703,0.03464218357405595,0.04766753659752786,0.006852725846955571,0.596978014024789,0.651770054225849,0.07540285091741744,81.90377998352051
dynamic,tum,K8,k8,anchor_recent_dino_diverse_k8,8,paper,first_50,50,8,0.11482851887476413,0.04577395879682317,0.04654689543502764,0.008470299950756302,0.5982804871147505,0.654074741163605,0.08068770715489587,90.4088716506958
static,7scenes,Full cache,full_cache,full_cache,,dense,50,4,12,0.033329476212330456,0.020740295966501874,0.03461949073255807,0.01871101183384847,0.7854845556031712,0.8870465576114127,0.03397448347244427,73.36604499816895
static,7scenes,K4,k4,anchor_recent_dino_diverse_k4,4,dense,50,4,12,0.033329462464417044,0.020740263206358134,0.034619513561978496,0.01871111601412706,0.7854863095197976,0.8870467535336887,0.033974488013197766,74.05423545837402
static,7scenes,K6,k6,anchor_recent_dino_diverse_k6,6,dense,50,4,12,0.033329470460498514,0.020740352507671162,0.03461949046695053,0.018711038454744592,0.7854859863339784,0.887046783461818,0.033974480463724525,74.02391115824382
static,7scenes,K8,k8,anchor_recent_dino_diverse_k8,8,dense,50,4,12,0.0333294759272896,0.020740330930210063,0.034619481513449755,0.018710978536831433,0.7854855624005865,0.8870475593307069,0.033974478720369676,75.30098342895508
static,7scenes,Full cache,full_cache,full_cache,,dense,50,6,12,0.05096079866499883,0.03510989792023589,0.04685702970057728,0.026414578520818827,0.7592483486147478,0.8682136399329683,0.04890891418278805,76.73509852091472
static,7scenes,K4,k4,anchor_recent_dino_diverse_k4,4,dense,50,6,12,0.05088889238217394,0.03145089571402091,0.04625637157359861,0.025142467354896645,0.7587529988499514,0.8676269807965223,0.048572631977886284,77.28414599100749
static,7scenes,K6,k6,anchor_recent_dino_diverse_k6,6,dense,50,6,12,0.0502000937950027,0.03334116050158265,0.04639190677333616,0.024695687968136763,0.7590307056600394,0.8680015689034172,0.04829600028416944,77.10946464538574
static,7scenes,K8,k8,anchor_recent_dino_diverse_k8,8,dense,50,6,12,0.05008432215808182,0.034667296204119624,0.046364537237237886,0.025654797733521948,0.7585618171977644,0.8674304702378768,0.04822442969765986,93.43298149108887
static,7scenes,Full cache,full_cache,full_cache,,dense,50,8,12,0.050073266523304016,0.03437177227306403,0.051878736898956036,0.028409876569250713,0.7475875000476836,0.8537678470506572,0.05097600171113003,82.05521329243977
static,7scenes,K4,k4,anchor_recent_dino_diverse_k4,4,dense,50,8,12,0.05093797134621761,0.036090308156388924,0.05110701023699799,0.03059264672301164,0.7456334937674515,0.8519351776892311,0.05102249079160779,77.45249048868816
static,7scenes,K6,k6,anchor_recent_dino_diverse_k6,6,dense,50,8,12,0.04931505226170891,0.03305021400563724,0.05139508753880414,0.02838452584738306,0.7479692622111713,0.8548371307884159,0.05035506990025652,82.49354298909505
static,7scenes,K8,k8,anchor_recent_dino_diverse_k8,8,dense,50,8,12,0.04967569869876396,0.03449310400044181,0.051881531429940654,0.028855199387265693,0.7473029350745657,0.8534933323974457,0.05077861506435232,102.14903386433919
static,7scenes,Full cache,full_cache,full_cache,,dense,50,10,11,0.05772807966212472,0.035193683480816855,0.051842419757014806,0.025711981964443405,0.7374146579278179,0.84206354419784,0.05478524970956975,100.02302065762606
static,7scenes,K4,k4,anchor_recent_dino_diverse_k4,4,dense,50,10,11,0.06933383158933369,0.043111846538511626,0.05639617012250772,0.029595687787228583,0.7305585374440798,0.833322933115791,0.06286500085592071,77.02502996271306
static,7scenes,K6,k6,anchor_recent_dino_diverse_k6,6,dense,50,10,11,0.06203698629759513,0.042347332400236075,0.055202049692854166,0.029926251440512117,0.7344835434051341,0.8389415104643972,0.05861951799522465,82.07505174116655
static,7scenes,K8,k8,anchor_recent_dino_diverse_k8,8,dense,50,10,11,0.05779174466161782,0.03599661754680769,0.05213301326646673,0.025927181563798453,0.7371223636166736,0.840971477869892,0.054962378964042276,89.04790219393644
static,eth3d,Full cache,full_cache,full_cache,,dense,random_10,4,13,0.7575275315896478,0.5321392881227738,0.8769449384432852,0.47779012465408827,0.8009268011935604,0.9350825778757442,0.8172362350164664,74.13872528076172
static,eth3d,K4,k4,anchor_recent_dino_diverse_k4,4,dense,random_10,4,13,0.7575286994413055,0.5321390152050947,0.8769504211848871,0.4777892943681099,0.8009263808519171,0.9350817832252835,0.8172395603130963,75.27427438589243
static,eth3d,K6,k6,anchor_recent_dino_diverse_k6,6,dense,random_10,4,13,0.7575304950339807,0.5321404007701541,0.8769486058683305,0.4777888270810857,0.8009288718502972,0.9350823586611773,0.8172395504511556,74.28396782508263
