task,dataset,sequence,method,method_id,cache_policy,cache_window_size,status,error,num_frames,accuracy,accuracy_median,completeness,completeness_median,normal_consistency,normal_consistency_median,overall,pose_status,pose_error,ate,rpe_trans,rpe_rot_deg,icp_fitness,icp_rmse,inference_sec,fps_inference,final_frame_ms,peak_allocated_mib,peak_reserved_mib
dynamic,tum,rgbd_dataset_freiburg3_sitting_halfsphere,Full cache,full_cache,full_cache,,ok,,50,0.028825609659056707,0.017150464799752803,0.01915123726070361,0.0035344955517390454,0.5883846557293648,0.6378998082216424,0.023988423459880157,ok,,0.012593197815430595,0.0095842129509072,0.3631024569994179,0.9613047839098849,0.032613414104592287,8.327261654194444,6.00437479646325,268.6395263671875,13152.10791015625,21498.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_halfsphere,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,50,0.016343904118983767,0.005019854639379195,0.015263687989183714,0.002435204190622727,0.5892680919695634,0.6400408713588739,0.01580379605408374,ok,,0.010487529788001436,0.010736028504955994,0.39065278953606836,0.9761133422398005,0.020890019358468237,4.772869186941534,10.475878982143259,76.5265884399414,8545.87060546875,9472.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_halfsphere,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,50,0.02077517937265942,0.008618381952638865,0.015648928475404618,0.0029516814720183422,0.5929419020331435,0.6458075590395926,0.018212053924032016,ok,,0.014660960635824337,0.011619278323127069,0.3837969348013659,0.9730109679489002,0.025141363053477066,4.31719628488645,11.581590620523546,81.8872299194336,8936.47216796875,9952.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_halfsphere,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,50,0.02565186743550007,0.012844303621119733,0.016512249516666393,0.0034965345613818333,0.5922814785872375,0.6444336798611232,0.02108205847608323,ok,,0.014074716129734963,0.010718572994367431,0.37528680210740606,0.9664188286506702,0.029847764971185575,5.287729569943622,9.455854226019563,90.36185455322266,9332.22998046875,10326.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_rpy,Full cache,full_cache,full_cache,,ok,,50,0.1596775191300565,0.0381898930871715,0.041542511796291315,0.009227735745892154,0.5934825578629543,0.6456888940052554,0.10061001546317391,ok,,0.015859980240787098,0.010698224255606523,0.34897650055356294,0.7366708279142424,0.03928293668551186,9.21486634411849,5.426014673768237,269.37445068359375,13152.41845703125,20842.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_rpy,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,50,0.12827778934823994,0.021636236753110504,0.04925428821219597,0.005672369491402208,0.6079764057098107,0.6708388284534068,0.08876603878021795,ok,,0.013276994421919486,0.009950822383075177,0.36348609478979504,0.8914549062542066,0.03537434009775778,3.8877766670193523,12.86082105079703,76.4459228515625,8543.99560546875,9454.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_rpy,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,50,0.13825912576172594,0.03395434046290605,0.06599112670543769,0.006190259940688747,0.5986620345933262,0.653618056725777,0.10212512623358182,ok,,0.013151989525417712,0.01091550436884138,0.3617304507675511,0.831135242593568,0.04150567748286831,4.666106627788395,10.715571672158426,82.24256134033203,8936.14404296875,9952.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_rpy,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,50,0.16940536717196586,0.07686011824672997,0.07494797303068922,0.012111660614225006,0.5870293697394469,0.630467577613343,0.12217667010132754,ok,,0.019319706361583908,0.011247372646731597,0.3549938479743709,0.5798593569976778,0.047499299558868925,4.43325648503378,11.278390990639696,89.88057708740234,9333.31201171875,10448.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_static,Full cache,full_cache,full_cache,,ok,,50,0.04789716822377366,0.012427970569327682,0.03733551562032298,0.0039004631997178974,0.5904069939032565,0.6424269005632164,0.04261634192204832,ok,,0.007998272170061079,0.00857614082656139,0.23066699194405166,0.9411878938527416,0.03201324912438354,9.064052865840495,5.516296158028154,269.4000549316406,13152.41845703125,20842.0
dynamic,tum,rgbd_dataset_freiburg3_sitting_static,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,50,0.045372967382938396,0.012638780638887707,0.03287446664331852,0.0035160360207391137,0.5853820132032515,0.6327165518645343,0.03912371701312846,ok,,0.008946333661468155,0.008769820217854576,0.23235507978248993,0.9441509934717948,0.03275527646194219,3.917518771952018,12.763180704577975,76.22962951660156,8542.97607421875,9454.0
