method,method_id,task,dataset,evaluation_unit,num_units,total_frames,primary_metric,primary_direction,primary_value,secondary_metric,secondary_direction,secondary_value,total_inference_sec,fps_inference,max_peak_allocated_mb,max_peak_reserved_mb,coverage_ok
Full cache,full_cache,video_depth,bonn,sequence,5,550,abs_rel,lower,0.07461304262060324,delta_1,higher,0.9598731495619636,178.41212644300322,3.0827500964499004,21641.4130859375,44804.0,yes
K4,k4,video_depth,bonn,sequence,5,550,abs_rel,lower,0.07545402951872039,delta_1,higher,0.9566336968596577,72.07213279899952,7.631243570020103,10565.9697265625,11558.0,yes
K6,k6,video_depth,bonn,sequence,5,550,abs_rel,lower,0.08379141761000666,delta_1,higher,0.9556358346584317,74.07469990499885,7.424937268802676,10941.03125,12302.0,yes
K8,k8,video_depth,bonn,sequence,5,550,abs_rel,lower,0.0843123703222404,delta_1,higher,0.9563728383045061,77.75889955400635,7.07314536541255,11329.72705078125,12646.0,yes
Full cache,full_cache,video_depth,kitti,sequence,13,1269,abs_rel,lower,0.17264024688341345,delta_1,higher,0.7214337692763331,211.76017634800155,5.992628179127298,12725.68212890625,25358.0,yes
K4,k4,video_depth,kitti,sequence,13,1269,abs_rel,lower,0.13337294142937575,delta_1,higher,0.8281883623516894,140.09437667100065,9.058179422719695,8187.26416015625,10446.0,yes
K6,k6,video_depth,kitti,sequence,13,1269,abs_rel,lower,0.1610024761107437,delta_1,higher,0.7437314314417277,142.5846457220032,8.899976526744437,8332.841796875,10444.0,yes
K8,k8,video_depth,kitti,sequence,13,1269,abs_rel,lower,0.1923035287031897,delta_1,higher,0.6737298959479746,146.6102654760034,8.655601269664878,8485.193359375,10410.0,yes
Full cache,full_cache,video_depth,sintel,sequence,23,1064,abs_rel,lower,0.323245493976378,delta_1,higher,0.6575031718958047,154.8549352719965,6.870946658116685,10548.36572265625,16094.0,yes
K4,k4,video_depth,sintel,sequence,23,1064,abs_rel,lower,0.3160537516887456,delta_1,higher,0.6502620746184491,124.63257524999062,8.537093916785452,8086.7021484375,9864.0,yes
K6,k6,video_depth,sintel,sequence,23,1064,abs_rel,lower,0.3299472413918465,delta_1,higher,0.6379553450136569,124.78524929699051,8.52664883064557,8280.9912109375,9864.0,yes
K8,k8,video_depth,sintel,sequence,23,1064,abs_rel,lower,0.3350447178901851,delta_1,higher,0.6380484517476986,129.02854573700097,8.24623724868412,8467.21044921875,9866.0,yes
Full cache,full_cache,pose,scannet,dataset_aggregate,1,537,ate,lower,0.034642854189601634,rpe_rot_deg,lower,0.3836297137019411,122.98863324604463,4.366257155860135,17480.63818359375,43982.0,yes
K4,k4,pose,scannet,dataset_aggregate,1,537,ate,lower,0.13013095134706057,rpe_rot_deg,lower,2.181181880713036,41.156684013898484,13.047698396174404,8626.92626953125,9464.0,yes
K6,k6,pose,scannet,dataset_aggregate,1,537,ate,lower,0.13812570373394867,rpe_rot_deg,lower,2.1731496711921663,41.93093084706925,12.806775073955542,9004.71142578125,10052.0,yes
K8,k8,pose,scannet,dataset_aggregate,1,537,ate,lower,0.0625833251137735,rpe_rot_deg,lower,0.45285692356088564,46.180459362920374,11.62829489806186,9384.3486328125,10632.0,yes
Full cache,full_cache,pose,sintel,dataset_aggregate,1,643,ate,lower,0.23260261340068514,rpe_rot_deg,lower,0.7114660848876946,62.14816059882287,10.346243457641108,10055.974609375,12724.0,yes
K4,k4,pose,sintel,dataset_aggregate,1,643,ate,lower,0.3830854535475381,rpe_rot_deg,lower,1.37546563454687,42.97688872204162,14.961529769143656,7572.52587890625,8004.0,yes
K6,k6,pose,sintel,dataset_aggregate,1,643,ate,lower,0.3938777276735141,rpe_rot_deg,lower,1.054118353153147,42.0105412438279,15.305682358816744,7784.80517578125,8172.0,yes
K8,k8,pose,sintel,dataset_aggregate,1,643,ate,lower,0.3990961580444058,rpe_rot_deg,lower,1.0102795135829976,44.27540051122196,14.52273706337284,7998.97900390625,8476.0,yes
Full cache,full_cache,pose,tum,dataset_aggregate,1,720,ate,lower,0.026946785083056837,rpe_rot_deg,lower,0.3180880762394265,166.63470437179785,4.320828621590885,17480.63818359375,43982.0,yes
K4,k4,pose,tum,dataset_aggregate,1,720,ate,lower,0.02500388894549827,rpe_rot_deg,lower,0.3553280215967438,53.3728636179585,13.490001307663391,8626.92626953125,9464.0,yes
K6,k6,pose,tum,dataset_aggregate,1,720,ate,lower,0.027910397514998325,rpe_rot_deg,lower,0.33177777273272585,56.966876120190136,12.638923687528978,9004.71142578125,10002.0,yes
K8,k8,pose,tum,dataset_aggregate,1,720,ate,lower,0.03171216557572696,rpe_rot_deg,lower,0.33283763006586164,61.57152245985344,11.693717667440536,9384.3486328125,10632.0,yes
Full cache,full_cache,static_recon,7scenes,sequence,12,208,overall,lower,0.04341178138174571,nc,higher,0.73539453702968,21.052870692918077,9.879887785088073,9429.16748046875,10700.0,yes
K4,k4,static_recon,7scenes,sequence,12,208,overall,lower,0.06065129819647538,nc,higher,0.7266184389704583,17.155938354786485,12.12408180179595,8259.46044921875,9116.0,yes
K6,k6,static_recon,7scenes,sequence,12,208,overall,lower,0.0496192684250683,nc,higher,0.7306378165700095,17.229789415141568,12.072115043797881,8649.71044921875,9706.0,yes
K8,k8,static_recon,7scenes,sequence,12,208,overall,lower,0.04775507982863398,nc,higher,0.732161527981044,18.752532898448408,11.091834960450063,9047.68896484375,10160.0,yes
Full cache,full_cache,static_recon,eth3d,sequence,13,130,overall,lower,0.761833416040502,nc,higher,0.8025109815602618,11.399695077445358,11.40381379649434,8260.5537109375,9228.0,yes
K4,k4,static_recon,eth3d,sequence,13,130,overall,lower,0.8841851320784677,nc,higher,0.7811935351202428,10.270411542383954,12.657720624292002,8160.60107421875,8902.0,yes
K6,k6,static_recon,eth3d,sequence,13,130,overall,lower,0.754503126302543,nc,higher,0.7974050849499376,10.47889676480554,12.405886126926879,8554.20654296875,9518.0,yes
K8,k8,static_recon,eth3d,sequence,13,130,overall,lower,0.7638704014727395,nc,higher,0.8031631064520817,11.340258191339672,11.463583792058492,8950.82958984375,9936.0,yes
Full cache,full_cache,static_recon,nrgbd,sequence,9,114,overall,lower,0.07588921137057915,nc,higher,0.8475596854843244,9.843967735767365,11.580696225343061,9055.66357421875,10576.0,yes
K4,k4,static_recon,nrgbd,sequence,9,114,overall,lower,0.07143611369237392,nc,higher,0.8479443461011832,9.686685080174357,11.768731930113294,8230.42919921875,9054.0,yes
K6,k6,static_recon,nrgbd,sequence,9,114,overall,lower,0.08438018203416135,nc,higher,0.8284301959351148,9.237167893676087,12.34144505244364,8618.45849609375,9684.0,yes
K8,k8,static_recon,nrgbd,sequence,9,114,overall,lower,0.09064232158140825,nc,higher,0.8369982796818183,10.136737924069166,11.246221501821886,9019.81787109375,9994.0,yes
