method,method_id,task,dataset,evaluation_unit,metric,direction,oracle_scope,n_units,mean_normalized_regret,median_normalized_regret,max_normalized_regret,oracle_wins
K4,k4,video_depth,bonn,sequence,abs_rel,lower,bounded_only,5,0.0,0.0,0.0,5
K6,k6,video_depth,bonn,sequence,abs_rel,lower,bounded_only,5,0.14175588961760557,0.14831446344125798,0.24729527089154343,0
K8,k8,video_depth,bonn,sequence,abs_rel,lower,bounded_only,5,0.1522305340332045,0.1401428076546021,0.3417044067752463,0
K4,k4,video_depth,bonn,sequence,delta_1,higher,bounded_only,5,0.00018606968064555473,6.323778944082442e-05,0.0007447507924081544,2
K6,k6,video_depth,bonn,sequence,delta_1,higher,bounded_only,5,0.00129674797385522,0.00024140211944437035,0.003950265780369794,1
K8,k8,video_depth,bonn,sequence,delta_1,higher,bounded_only,5,0.00042440684185808525,0.0003768228205960903,0.001230054082075686,2
K4,k4,video_depth,kitti,sequence,abs_rel,lower,bounded_only,13,0.002324767155386425,0.0,0.030221973020023524,12
K6,k6,video_depth,kitti,sequence,abs_rel,lower,bounded_only,13,0.17276592576518424,0.18224815040234557,0.31620048741954093,0
K8,k8,video_depth,kitti,sequence,abs_rel,lower,bounded_only,13,0.3681089568719625,0.38062963310929804,1.0166088270135094,1
K4,k4,video_depth,kitti,sequence,delta_1,higher,bounded_only,13,0.0,0.0,0.0,13
K6,k6,video_depth,kitti,sequence,delta_1,higher,bounded_only,13,0.09610797127022358,0.066879369013666,0.26316221018689206,0
K8,k8,video_depth,kitti,sequence,delta_1,higher,bounded_only,13,0.1649486479597206,0.17873155117443384,0.38169134699733986,0
K4,k4,video_depth,sintel,sequence,abs_rel,lower,bounded_only,23,0.041612190833977575,0.0,0.5986462671059642,14
K6,k6,video_depth,sintel,sequence,abs_rel,lower,bounded_only,23,0.059017808304465486,0.025998364162944602,0.3439949069135972,2
K8,k8,video_depth,sintel,sequence,abs_rel,lower,bounded_only,23,0.056999880497031134,0.017775597342350718,0.20675360057645262,7
K4,k4,video_depth,sintel,sequence,delta_1,higher,bounded_only,23,0.021987378414149918,0.0,0.1667823985498062,13
K6,k6,video_depth,sintel,sequence,delta_1,higher,bounded_only,23,0.04214959593324473,0.022868105320546454,0.32034329471092754,5
K8,k8,video_depth,sintel,sequence,delta_1,higher,bounded_only,23,0.031824096207111754,0.0034123780984219917,0.20485775202574288,5
K4,k4,video_depth,all,mixed_units,abs_rel,lower,bounded_only,41,0.024080545419548967,0.0,0.5986462671059642,31
K6,k6,video_depth,all,mixed_units,abs_rel,lower,bounded_only,41,0.10517429448873485,0.075252199366706,0.3439949069135972,2
K8,k8,video_depth,all,mixed_units,abs_rel,lower,bounded_only,41,0.1672577161203232,0.06851291476367734,1.0166088270135094,8
K4,k4,video_depth,all,mixed_units,delta_1,higher,bounded_only,41,0.012357074437284779,0.0,0.1667823985498062,28
K6,k6,video_depth,all,mixed_units,delta_1,higher,bounded_only,41,0.054276294459678326,0.029105783685523152,0.32034329471092754,6
K8,k8,video_depth,all,mixed_units,delta_1,higher,bounded_only,41,0.07020508952315192,0.004930198658061493,0.38169134699733986,7
K4,k4,pose,scannet,dataset_aggregate,ate,lower,bounded_only,1,1.0793230642585498,1.0793230642585498,1.0793230642585498,0
K6,k6,pose,scannet,dataset_aggregate,ate,lower,bounded_only,1,1.2070687916125058,1.2070687916125058,1.2070687916125058,0
K8,k8,pose,scannet,dataset_aggregate,ate,lower,bounded_only,1,0.0,0.0,0.0,1
K4,k4,pose,scannet,dataset_aggregate,rpe_rot_deg,lower,bounded_only,1,3.8164922897988567,3.8164922897988567,3.8164922897988567,0
K6,k6,pose,scannet,dataset_aggregate,rpe_rot_deg,lower,bounded_only,1,3.798755540942924,3.798755540942924,3.798755540942924,0
K8,k8,pose,scannet,dataset_aggregate,rpe_rot_deg,lower,bounded_only,1,0.0,0.0,0.0,1
K4,k4,pose,sintel,dataset_aggregate,ate,lower,bounded_only,1,0.0,0.0,0.0,1
