method,status,error,dataset,sequence,num_frames,processed_frames,cache_window_size,cache_policy,mode,inference_sec,wall_sec,fps_inference,fps_end_to_end,peak_allocated_mb,peak_reserved_mb,rss_before_mib,rss_peak_mib,rss_growth_mib,process_max_rss_mib,input_mode,output_mode,max_input_tensors_mib,max_retained_outputs_mib,max_retained_views_mib,max_aggregator_kv_mib,max_camera_kv_mib,max_descriptor_mib,pose_status,pose_error,ate,rpe_trans,rpe_rot_deg,align_scale,max_association_difference_sec,near_occupancy_rate,middle_occupancy_rate,long_occupancy_rate,final_max_temporal_gap,final_bank_frame_ids,gpu_name,torch_version,cuda_version,python_version,method_id,sequence_label
Full cache,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,100,100,,full_cache,stream_release,32.075406719995954,32.07540765200247,3.1176533745294503,3.117653283940633,17980.685546875,44594.0,1150.09375,1516.484375,366.390625,5421.43359375,streaming,sink,2.2407989501953125,0.0,0.0,9412.5,25.0,0.0,ok,,0.021033888320302303,0.008677993203318862,0.41994384393176204,1.635752298630686,0.004561901092529297,,,,,,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,full_cache,F1-Room
K4,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,100,100,4,anchor_recent_dino_diverse_k4,stream_release,11.247357186002773,11.247358369000722,8.890977528876652,8.890976593723007,8026.3154296875,8782.0,1150.125,1598.6796875,448.5546875,5421.59375,streaming,sink,2.2407989501953125,0.0,0.0,376.5,1.0,0.015625,ok,,0.029796715220650284,0.015452097583020631,0.6481588951951607,1.4946211347556886,0.004561901092529297,,,,,,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,k4,F1-Room
K6,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,100,100,6,anchor_recent_dino_diverse_k6,stream_release,9.313100815998041,9.313102157997491,10.73756227659643,10.737560729335117,8405.619140625,9466.0,1150.1015625,1599.51171875,449.41015625,5421.5078125,streaming,sink,2.2407989501953125,0.0,0.0,564.75,1.5,0.0234375,ok,,0.027629121704774922,0.013192638656826319,0.5544448678944102,1.5425588401071726,0.004561901092529297,,,,,,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,k6,F1-Room
K8,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,100,100,8,anchor_recent_dino_diverse_k8,stream_release,10.29771818700101,10.297718958005134,9.710889168265622,9.710888441198236,8782.8779296875,9802.0,1150.1015625,1656.1953125,506.09375,5421.53125,streaming,sink,2.2407989501953125,0.0,0.0,753.0,2.0,0.03125,ok,,0.026562173342145053,0.011590771744101237,0.5052066635488127,1.6095592117548703,0.004561901092529297,1.0,0.963855421686747,1.0,67,"{""anchor"": [0], ""long"": [1], ""middle"": [68], ""near"": [91], ""recent"": [96, 97, 98, 99]}",NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,k8,F1-Room
Full cache,failed,OutOfMemoryError: CUDA out of memory. Tried to allocate 770.00 MiB. GPU ,tum_rgbd_raw,rgbd_dataset_freiburg1_room,250,195,,full_cache,stream_release,,,,,28457.9755859375,44872.0,,,,,,,,,,,,,,,,,,,0.004599094390869141,,,,,,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,full_cache,F1-Room
K4,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,250,250,4,anchor_recent_dino_diverse_k4,stream_release,26.35285907600337,26.35286014799931,9.486636697710242,9.48663631180769,8026.3154296875,8782.0,1150.31640625,1599.7890625,449.47265625,5421.82421875,streaming,sink,2.2407989501953125,0.0,0.0,376.5,1.0,0.015625,ok,,0.16973505509792805,0.08969859430252622,7.220622742503171,1.6153865783325074,0.004599094390869141,,,,,,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,k4,F1-Room
K6,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,250,250,6,anchor_recent_dino_diverse_k6,stream_release,23.859115526000096,23.85911650700291,10.478175510218156,10.478175079392495,8406.01953125,9466.0,1150.0703125,1599.53125,449.4609375,5421.59375,streaming,sink,2.2407989501953125,0.0,0.0,564.75,1.5,0.0234375,ok,,0.15182926525592935,0.08867339496174974,5.89429294387,1.6228528360467356,0.004599094390869141,,,,,,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,k6,F1-Room
K8,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,250,250,8,anchor_recent_dino_diverse_k8,stream_release,24.619980163995933,24.619980916002532,10.154354241340862,10.154353931180532,8782.8779296875,9802.0,1150.140625,1651.39453125,501.25390625,5421.74609375,streaming,sink,2.2407989501953125,0.0,0.0,753.0,2.0,0.03125,ok,,0.09414821808945939,0.023748731486101828,0.540323086186404,1.655579977374726,0.004599094390869141,1.0,0.9356223175965666,1.0,140,"{""anchor"": [0], ""long"": [68], ""middle"": [208], ""near"": [243], ""recent"": [246, 247, 248, 249]}",NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,k8,F1-Room
K4,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,500,500,4,anchor_recent_dino_diverse_k4,stream_release,50.610499476999394,50.61050078900007,9.879372959502831,9.879372703395031,8026.3154296875,8782.0,1150.21875,1599.80078125,449.58203125,5421.640625,streaming,sink,2.2407989501953125,0.0,0.0,376.5,1.0,0.015625,ok,,0.9096647077692804,0.11282949295727167,8.962554873399343,0.9816396317746261,0.005661964416503906,,,,,,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,k4,F1-Room
K6,ok,,tum_rgbd_raw,rgbd_dataset_freiburg1_room,500,500,6,anchor_recent_dino_diverse_k6,stream_release,46.04736967899953,46.04737077100435,10.858383518657986,10.858383261153444,8406.0654296875,9466.0,1150.296875,1599.87890625,449.58203125,5421.9296875,streaming,sink,2.2407989501953125,0.0,0.0,564.75,1.5,0.0234375,ok,,0.9475882507613106,0.06986563511362849,6.213545001924147,0.9017166201894018,0.005661964416503906,,,,,,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9,k6,F1-Room
