dataset,method,method_id,random_seed,cache_policy,cache_window_size,num_sequences,num_successful,num_failed,total_frames,abs_rel,rmse,delta_1,fps_inference,peak_allocated_mib,peak_reserved_mib,gpu_name,torch_version,cuda_version
bonn,Full cache,full_cache,0,full_cache,,5,5,0,550,0.07461304262060324,0.30165286681127723,0.9598731495619636,3.0827500964499004,21641.4130859375,44804.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,Recent-4,recent4,0,fifo,4,5,5,0,550,0.12098036670245177,0.40472108312031874,0.8991808438912471,7.490918890097014,10563.60400390625,11558.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,Anchor+Recent-4,anchor_recent4,0,anchor_recent,4,5,5,0,550,0.09619735178782163,0.3465918789292935,0.9503038368299619,7.64762734679366,10565.9501953125,11558.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,K4,k4,0,anchor_recent_dino_diverse_k4,4,5,5,0,550,0.07545402951872039,0.3068395436641293,0.9566336968596577,7.631243570020103,10565.9697265625,11558.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,Uniform-4,anchor_uniform4,0,anchor_uniform_k4,4,5,5,0,550,0.08543199027027898,0.32443176073285895,0.9556193575845776,7.595703270974433,10565.9501953125,11558.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,Random-4 (seed 0),random4_seed0,0,random_reservoir_k4,4,5,5,0,550,0.07985364861596679,0.3089417109251238,0.9585104596885434,7.507372471014852,10565.9501953125,11558.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,Random-4 (seed 1),random4_seed1,1,random_reservoir_k4,4,5,5,0,550,0.08877218870243009,0.32897995861970614,0.9483483562484532,7.598779903072989,10565.9501953125,11558.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
bonn,Random-4 (seed 2),random4_seed2,2,random_reservoir_k4,4,5,5,0,550,0.08729468132868265,0.3253406849104938,0.9542907010426711,7.554784844736203,10565.9501953125,11558.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,Full cache,full_cache,0,full_cache,,13,13,0,1269,0.17264024688341345,4.966537359888026,0.7214337692763331,5.992628179127298,12725.68212890625,25358.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,Recent-4,recent4,0,fifo,4,13,13,0,1269,0.1316246441703508,4.1631990929764635,0.8242486543246703,9.073801821553523,8187.24462890625,10446.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,Anchor+Recent-4,anchor_recent4,0,anchor_recent,4,13,13,0,1269,0.18571980678592312,5.192650398979331,0.6859020884525874,8.885246467788635,8187.24462890625,10444.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,K4,k4,0,anchor_recent_dino_diverse_k4,4,13,13,0,1269,0.13337294142937575,4.14942018355722,0.8281883623516894,9.058179422719695,8187.26416015625,10446.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,Uniform-4,anchor_uniform4,0,anchor_uniform_k4,4,13,13,0,1269,0.16132735440482193,4.704589623203236,0.7497500448748229,8.881776240325788,8187.24462890625,10446.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,Random-4 (seed 0),random4_seed0,0,random_reservoir_k4,4,13,13,0,1269,0.13264451368484143,4.205212280106029,0.8368772220370121,8.933650907076416,8187.24462890625,10446.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,Random-4 (seed 1),random4_seed1,1,random_reservoir_k4,4,13,13,0,1269,0.12008472632279676,3.9170644621895745,0.8810346730819987,8.85881595293024,8187.24462890625,10444.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
kitti,Random-4 (seed 2),random4_seed2,2,random_reservoir_k4,4,13,13,0,1269,0.11620111617150161,3.8950607725081023,0.8896524984969001,8.950482295138608,8187.24462890625,10446.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,Full cache,full_cache,0,full_cache,,23,23,0,1064,0.323245493976378,3.824677200624793,0.6575031718958047,6.870946658116685,10548.36572265625,16094.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,Recent-4,recent4,0,fifo,4,23,23,0,1064,0.40002875886520595,4.004208813480208,0.5897061856789465,8.722411095605779,8086.6826171875,9864.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,Anchor+Recent-4,anchor_recent4,0,anchor_recent,4,23,23,0,1064,0.33738467508801195,3.9340819660177666,0.629133214009848,8.646787198194067,8086.6826171875,9864.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,K4,k4,0,anchor_recent_dino_diverse_k4,4,23,23,0,1064,0.3160537516887456,3.8334070970850713,0.6502620746184491,8.537093916785452,8086.7021484375,9864.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,Uniform-4,anchor_uniform4,0,anchor_uniform_k4,4,23,23,0,1064,0.3327896087870249,3.881772955315745,0.6382480063641409,8.641075664634753,8086.6826171875,9864.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,Random-4 (seed 0),random4_seed0,0,random_reservoir_k4,4,23,23,0,1064,0.35778659569835564,3.8336554143594253,0.6305382885659401,8.558637729181418,8086.6826171875,9864.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,Random-4 (seed 1),random4_seed1,1,random_reservoir_k4,4,23,23,0,1064,0.3558150191950375,3.852009897721633,0.633709662306359,8.575805779639811,8086.6826171875,9864.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
sintel,Random-4 (seed 2),random4_seed2,2,random_reservoir_k4,4,23,23,0,1064,0.3486993883199824,3.881190114074898,0.6361973869128524,8.706492780215235,8086.6826171875,9864.0,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1
