dataset,sequence,method,method_id,random_seed,num_frames,abs_rel,rmse,delta_1,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
bonn,balloon2,Full cache,full_cache,0,110,0.04905746777180099,0.24249945158526232,0.9791742563247681,36.41109704799965,3.0210570105863694,20378.94189453125,44804.0
bonn,balloon2,Recent-4,recent4,0,110,0.062379282092555666,0.2588469169260346,0.9811660051345825,15.833972912980244,6.947087796886725,9300.71142578125,10236.0
bonn,balloon2,Anchor+Recent-4,anchor_recent4,0,110,0.058357183931502785,0.25587701909839355,0.9773115515708923,14.835762029048055,7.414516341298999,9300.71142578125,10236.0
bonn,balloon2,K4,k4,0,110,0.0522497205193367,0.2476497636132152,0.9783028364181519,14.785875489000318,7.439532416043439,9300.73095703125,10236.0
bonn,balloon2,Uniform-4,anchor_uniform4,0,110,0.05583236629625759,0.25270917095644296,0.977554976940155,15.104130631079897,7.282775995968419,9300.71142578125,10236.0
bonn,balloon2,Random-4 (seed 0),random4_seed0,0,110,0.04860182832647415,0.24141864943129165,0.9793250560760498,15.205588117009029,7.234182535626727,9300.71142578125,10236.0
bonn,balloon2,Random-4 (seed 1),random4_seed1,1,110,0.047806250717245084,0.22973603382753863,0.9806376099586487,14.918431140016764,7.373429482470124,9300.71142578125,10236.0
bonn,balloon2,Random-4 (seed 2),random4_seed2,2,110,0.048602242588608006,0.2379108819426505,0.9799790382385254,15.116645143833011,7.276746854435199,9300.71142578125,10236.0
bonn,crowd2,Full cache,full_cache,0,110,0.0576853205658854,0.2534535753172686,0.9781057834625244,35.74315026600016,3.077512731289244,21635.76416015625,43496.0
bonn,crowd2,Recent-4,recent4,0,110,0.11495431523066674,0.3897654793676633,0.8993188142776489,15.004950823029503,7.330913729565358,10563.60400390625,11510.0
bonn,crowd2,Anchor+Recent-4,anchor_recent4,0,110,0.08670409584097359,0.3260503154498957,0.9545725584030151,14.598819338018075,7.5348558984862075,10565.9501953125,11558.0
bonn,crowd2,K4,k4,0,110,0.061115417952246516,0.26904332921073637,0.9718385338783264,14.60441232499943,7.531970308158517,10565.9697265625,11558.0
bonn,crowd2,Uniform-4,anchor_uniform4,0,110,0.07145845711044119,0.2902700652516562,0.9706721901893616,14.79334842087701,7.435774300074165,10565.9501953125,11558.0
bonn,crowd2,Random-4 (seed 0),random4_seed0,0,110,0.07760051258871938,0.28916937817691474,0.9748011231422424,14.953253678046167,7.356258535324527,10565.9501953125,11558.0
bonn,crowd2,Random-4 (seed 1),random4_seed1,1,110,0.0941045879465958,0.3440829481095605,0.923111081123352,14.832959698978812,7.415917135376094,10565.9501953125,11558.0
bonn,crowd2,Random-4 (seed 2),random4_seed2,2,110,0.08976352240628749,0.3111577391155102,0.954693078994751,14.95149461994879,7.357124006400958,10565.9501953125,11558.0
bonn,crowd3,Full cache,full_cache,0,110,0.1576743974392614,0.6143006416758402,0.8607560396194458,35.275553988001775,3.1183068035562007,21617.11767578125,43496.0
bonn,crowd3,Recent-4,recent4,0,110,0.1750425753260583,0.6263846558216198,0.8529654741287231,14.217786061111838,7.73678824024997,10545.681640625,11510.0
bonn,crowd3,Anchor+Recent-4,anchor_recent4,0,110,0.1730587280606875,0.6244812144137574,0.8493801355361938,14.21233968110755,7.739753092604653,10548.86767578125,11558.0
bonn,crowd3,K4,k4,0,110,0.16211136330077153,0.6145199806891337,0.8548356890678406,14.155225790000259,7.77098165948775,10548.88720703125,11558.0
bonn,crowd3,Uniform-4,anchor_uniform4,0,110,0.16780958362373635,0.6214274344907693,0.8516606092453003,14.169047457166016,7.7634011977542885,10548.86767578125,11558.0
bonn,crowd3,Random-4 (seed 0),random4_seed0,0,110,0.1636312081637808,0.6082858458125013,0.8566778898239136,14.436946187866852,7.619339891454786,10548.86767578125,11558.0
bonn,crowd3,Random-4 (seed 1),random4_seed1,1,110,0.16722770122919806,0.6136463492861128,0.8549268245697021,14.319470493821427,7.681848295121168,10548.86767578125,11558.0
bonn,crowd3,Random-4 (seed 2),random4_seed2,2,110,0.17054257323586916,0.6222725282182063,0.8578217625617981,14.134961296105757,7.782122476013109,10548.86767578125,11558.0
bonn,person_tracking2,Full cache,full_cache,0,110,0.056061668675243446,0.21062627914971183,0.9891893267631531,35.6706581239996,3.0837670451050867,21641.4130859375,43496.0
bonn,person_tracking2,Recent-4,recent4,0,110,0.14024993193198862,0.41773864868668864,0.7905281782150269,14.169530413113534,7.763136589071282,10546.431640625,11510.0
bonn,person_tracking2,Anchor+Recent-4,anchor_recent4,0,110,0.07271718156735459,0.24148572424256184,0.9867114424705505,14.074229279067367,7.815703284271718,10542.17333984375,11558.0
bonn,person_tracking2,K4,k4,0,110,0.04517334147952291,0.1922030406323386,0.9877705574035645,14.327608995001356,7.677484780494569,10542.19287109375,11558.0
bonn,person_tracking2,Uniform-4,anchor_uniform4,0,110,0.05758045555555881,0.20838158487081573,0.9885905981063843,14.125420595053583,7.787378737488328,10542.17333984375,11558.0
bonn,person_tracking2,Random-4 (seed 0),random4_seed0,0,110,0.04534079036348995,0.19334691361443707,0.9892151951789856,14.348859230987728,7.666114652685736,10542.17333984375,11558.0
bonn,person_tracking2,Random-4 (seed 1),random4_seed1,1,110,0.061332359011849455,0.2113753175633509,0.9914178848266602,14.12565835705027,7.78724766092745,10542.17333984375,11558.0
bonn,person_tracking2,Random-4 (seed 2),random4_seed2,2,110,0.058256118259106114,0.22023740092957186,0.9899260997772217,14.280052946181968,7.703052671762713,10542.17333984375,11558.0
bonn,synchronous,Full cache,full_cache,0,110,0.054081471596425956,0.19369766524932572,0.990147054195404,35.31166701700204,3.115117729985295,21624.91845703125,43496.0
bonn,synchronous,Recent-4,recent4,0,110,0.11243173513453156,0.3333695720502456,0.9741830229759216,14.195993839995936,7.748664957157483,10535.48876953125,11558.0
bonn,synchronous,Anchor+Recent-4,anchor_recent4,0,110,0.09172643232152694,0.2914222516806866,0.9812543988227844,14.196579847019166,7.748345107437728,10537.26953125,11558.0
bonn,synchronous,K4,k4,0,110,0.05848929585623949,0.21770949772775347,0.9883250594139099,14.199010199998156,7.747018873189787,10537.2890625,11558.0
bonn,synchronous,Uniform-4,anchor_uniform4,0,110,0.07622288927463025,0.2562013697911428,0.987444281578064,14.217411236837506,7.736992211000305,10537.26953125,11558.0
bonn,synchronous,Random-4 (seed 0),random4_seed0,0,110,0.06610686405450485,0.2194384293506624,0.9904544949531555,14.316670527216047,7.68335066389141,10537.26953125,11558.0
bonn,synchronous,Random-4 (seed 1),random4_seed1,1,110,0.07518791304884383,0.2530648848212472,0.9890977144241333,14.183521187165752,7.755478949722002,10537.26953125,11558.0
bonn,synchronous,Random-4 (seed 2),random4_seed2,2,110,0.0711974112015455,0.24178988575114932,0.9867991805076599,14.318389823893085,7.682428076964569,10537.26953125,11558.0
kitti,2011_09_26_drive_0002_sync_02,Full cache,full_cache,0,67,0.16294789581838676,3.625628725490919,0.7318026423454285,9.666985448999185,6.930805922226401,10074.8388671875,15256.0
kitti,2011_09_26_drive_0002_sync_02,Recent-4,recent4,0,67,0.08147306237881147,2.459515854437674,0.9523586630821228,8.082601303001866,8.28941048658633,7489.92236328125,9914.0
kitti,2011_09_26_drive_0002_sync_02,Anchor+Recent-4,anchor_recent4,0,67,0.22069329973817095,4.844857906860707,0.5122907757759094,8.239160932134837,8.131896020950732,7489.92236328125,9914.0
kitti,2011_09_26_drive_0002_sync_02,K4,k4,0,67,0.14013430899778812,3.2021417047422145,0.8051062822341919,8.001616240999283,8.373308339470263,7489.94189453125,9914.0
kitti,2011_09_26_drive_0002_sync_02,Uniform-4,anchor_uniform4,0,67,0.18332601848940502,4.072844264298036,0.639691174030304,8.294848579913378,8.077302358748986,7489.92236328125,9914.0
kitti,2011_09_26_drive_0002_sync_02,Random-4 (seed 0),random4_seed0,0,67,0.1307507271440137,2.9633622833489897,0.8550728559494019,7.700538240140304,8.700690511573807,7489.92236328125,9914.0
kitti,2011_09_26_drive_0002_sync_02,Random-4 (seed 1),random4_seed1,1,67,0.07334026106180397,2.043085575276249,0.9866825938224792,8.333823267137632,8.039527339654287,7489.92236328125,9914.0
kitti,2011_09_26_drive_0002_sync_02,Random-4 (seed 2),random4_seed2,2,67,0.0918635766290935,2.4114268730751527,0.9599349498748779,8.174805186223239,8.195913966599859,7489.92236328125,9914.0
kitti,2011_09_26_drive_0005_sync_02,Full cache,full_cache,0,110,0.18864365638279829,4.887360981984805,0.6995260715484619,19.289904548000777,5.702464712890479,12529.2939453125,25218.0
kitti,2011_09_26_drive_0005_sync_02,Recent-4,recent4,0,110,0.13509789935453825,3.997659086885691,0.8883160948753357,12.067961777094752,9.115043785503394,7984.06787109375,10282.0
kitti,2011_09_26_drive_0005_sync_02,Anchor+Recent-4,anchor_recent4,0,110,0.1833350596568093,5.081050912043427,0.7444459795951843,12.963500563055277,8.485362380705206,7984.06787109375,10280.0
kitti,2011_09_26_drive_0005_sync_02,K4,k4,0,110,0.1526136038185439,4.379920528510738,0.7969074845314026,12.232330188999185,8.992563011332503,7984.08740234375,10282.0
kitti,2011_09_26_drive_0005_sync_02,Uniform-4,anchor_uniform4,0,110,0.17346555413784578,4.811494273155607,0.7590226531028748,12.938502731965855,8.5017565230507,7984.06787109375,10282.0
kitti,2011_09_26_drive_0005_sync_02,Random-4 (seed 0),random4_seed0,0,110,0.15911827407630966,4.480512269872183,0.7745748162269592,12.687525981105864,8.669932984871195,7984.06787109375,10282.0
kitti,2011_09_26_drive_0005_sync_02,Random-4 (seed 1),random4_seed1,1,110,0.1419763342166965,4.280058305571346,0.8656236529350281,12.947831431869417,8.495631147100756,7984.06787109375,10280.0
kitti,2011_09_26_drive_0005_sync_02,Random-4 (seed 2),random4_seed2,2,110,0.13608631339878105,4.199434413195098,0.8548890352249146,12.31400471786037,8.93291845507049,7984.06787109375,10282.0
kitti,2011_09_26_drive_0013_sync_02,Full cache,full_cache,0,110,0.16661048453770552,4.754058647705848,0.7304067015647888,19.160594266999396,5.740949287228256,12725.68212890625,25358.0
kitti,2011_09_26_drive_0013_sync_02,Recent-4,recent4,0,110,0.21531091761831875,5.666772159130078,0.5602944493293762,12.11906766006723,9.076605815351128,8187.24462890625,10446.0
kitti,2011_09_26_drive_0013_sync_02,Anchor+Recent-4,anchor_recent4,0,110,0.24776521567959853,6.440502180864326,0.5764217376708984,12.875901953084394,8.543090837504376,8187.24462890625,10444.0
kitti,2011_09_26_drive_0013_sync_02,K4,k4,0,110,0.1837036203840604,4.971953861065778,0.7167658805847168,12.354857489001006,8.903380722758497,8187.26416015625,10446.0
kitti,2011_09_26_drive_0013_sync_02,Uniform-4,anchor_uniform4,0,110,0.22134540038223938,5.841007834254643,0.6472042202949524,12.905705822864547,8.523361799020492,8187.24462890625,10446.0
kitti,2011_09_26_drive_0013_sync_02,Random-4 (seed 0),random4_seed0,0,110,0.1246528111149615,3.9526163440069677,0.8615067005157471,12.138560264138505,9.062030224867602,8187.24462890625,10446.0
kitti,2011_09_26_drive_0013_sync_02,Random-4 (seed 1),random4_seed1,1,110,0.1147626066336957,3.7980586498001396,0.8675782084465027,12.951997439842671,8.492898528656301,8187.24462890625,10444.0
kitti,2011_09_26_drive_0013_sync_02,Random-4 (seed 2),random4_seed2,2,110,0.1089894570784947,3.6193411204121677,0.9141772389411926,12.891136066056788,8.532995031340741,8187.24462890625,10446.0
kitti,2011_09_26_drive_0020_sync_02,Full cache,full_cache,0,76,0.09736996814819542,3.918371361001928,0.9190409779548645,11.273585815000843,6.74142205037132,11032.24658203125,25358.0
kitti,2011_09_26_drive_0020_sync_02,Recent-4,recent4,0,76,0.10844697010609652,4.560327850088465,0.9131640195846558,8.299717618850991,9.156938041769354,8028.62841796875,10446.0
kitti,2011_09_26_drive_0020_sync_02,Anchor+Recent-4,anchor_recent4,0,76,0.10433832236772908,3.9739297221771444,0.8892929553985596,8.347575887106359,9.104439543627196,8028.62841796875,10444.0
kitti,2011_09_26_drive_0020_sync_02,K4,k4,0,76,0.08954473745022773,3.669119356325534,0.9212316870689392,8.310745512000722,9.144787298595048,8028.64794921875,10446.0
kitti,2011_09_26_drive_0020_sync_02,Uniform-4,anchor_uniform4,0,76,0.09741499800264189,3.7556623276889876,0.9023305177688599,8.377508834935725,9.071909262938199,8028.62841796875,10446.0
kitti,2011_09_26_drive_0020_sync_02,Random-4 (seed 0),random4_seed0,0,76,0.09139220880613083,4.002443804754155,0.9283751845359802,8.528520706109703,8.911275779110762,8028.62841796875,10446.0
kitti,2011_09_26_drive_0020_sync_02,Random-4 (seed 1),random4_seed1,1,76,0.10021738919687435,4.296994358072739,0.9231483340263367,8.45751545811072,8.986090581379468,8028.62841796875,10444.0
kitti,2011_09_26_drive_0020_sync_02,Random-4 (seed 2),random4_seed2,2,76,0.11158218804838689,4.537835791328277,0.9157117605209351,8.385161352111027,9.063630001689406,8028.62841796875,10446.0
kitti,2011_09_26_drive_0023_sync_02,Full cache,full_cache,0,110,0.21337925064818536,5.6282759051467295,0.5742128491401672,19.0853935740015,5.7635699035226695,12569.53369140625,25358.0
kitti,2011_09_26_drive_0023_sync_02,Recent-4,recent4,0,110,0.12449888814954162,4.44047121759822,0.8656994104385376,12.084266450954601,9.102745329759797,8028.62841796875,10446.0
kitti,2011_09_26_drive_0023_sync_02,Anchor+Recent-4,anchor_recent4,0,110,0.2313308854028224,6.101182220028464,0.5227099061012268,12.156117332167923,9.048941943733492,8028.62841796875,10444.0
kitti,2011_09_26_drive_0023_sync_02,K4,k4,0,110,0.1611949658888231,4.7890414296891715,0.7398703694343567,12.007392299998173,9.16102324732213,8028.64794921875,10446.0
kitti,2011_09_26_drive_0023_sync_02,Uniform-4,anchor_uniform4,0,110,0.19503138016499297,5.388218399053572,0.6171396970748901,12.118168485816568,9.077279304108288,8028.62841796875,10446.0
kitti,2011_09_26_drive_0023_sync_02,Random-4 (seed 0),random4_seed0,0,110,0.17319902541890253,5.0158054758834005,0.698114812374115,12.206100393086672,9.011887208653645,8028.62841796875,10446.0
kitti,2011_09_26_drive_0023_sync_02,Random-4 (seed 1),random4_seed1,1,110,0.11677701139098119,4.134888365547463,0.9303765296936035,12.14492709399201,9.057279566084514,8028.62841796875,10444.0
kitti,2011_09_26_drive_0023_sync_02,Random-4 (seed 2),random4_seed2,2,110,0.10727038783603304,3.9976274017541624,0.9403277039527893,12.281613923842087,8.956477599939767,8028.62841796875,10446.0
kitti,2011_09_26_drive_0036_sync_02,Full cache,full_cache,0,110,0.17301963562507397,4.7207617935538275,0.7866169214248657,19.104643198999838,5.757762594894141,12725.68212890625,25358.0
kitti,2011_09_26_drive_0036_sync_02,Recent-4,recent4,0,110,0.12672220805087286,4.183362230447886,0.8234218955039978,12.014191830996424,9.155838490625873,8187.24462890625,10446.0
kitti,2011_09_26_drive_0036_sync_02,Anchor+Recent-4,anchor_recent4,0,110,0.1861028810489291,5.227691160480643,0.6842102408409119,12.277561995899305,8.95943348009482,8187.24462890625,10444.0
kitti,2011_09_26_drive_0036_sync_02,K4,k4,0,110,0.13092604585877443,4.141367089890762,0.8302183151245117,12.115411589002179,9.079344865167686,8187.26416015625,10446.0
kitti,2011_09_26_drive_0036_sync_02,Uniform-4,anchor_uniform4,0,110,0.1657233751487284,4.764237989645053,0.7361912131309509,12.133241930045187,9.066002362287877,8187.24462890625,10446.0
kitti,2011_09_26_drive_0036_sync_02,Random-4 (seed 0),random4_seed0,0,110,0.13229702932416842,3.9158795471757335,0.893503725528717,12.254295093938708,8.97644451653599,8187.24462890625,10446.0
kitti,2011_09_26_drive_0036_sync_02,Random-4 (seed 1),random4_seed1,1,110,0.080094042244944,3.6118223009705774,0.9594791531562805,12.194177291123196,9.02069876252127,8187.24462890625,10444.0
kitti,2011_09_26_drive_0036_sync_02,Random-4 (seed 2),random4_seed2,2,110,0.08965642192257839,3.606542404059172,0.9519108533859253,12.098589475033805,9.091968962744945,8187.24462890625,10446.0
kitti,2011_09_26_drive_0079_sync_02,Full cache,full_cache,0,90,0.12974679619062623,5.779337879218956,0.9092097282409668,14.140306629997212,6.364784184317066,11727.70654296875,25358.0
kitti,2011_09_26_drive_0079_sync_02,Recent-4,recent4,0,90,0.2002755774307243,6.304438180604267,0.6352047920227051,9.896054197102785,9.094533862430627,8093.625,10446.0
kitti,2011_09_26_drive_0079_sync_02,Anchor+Recent-4,anchor_recent4,0,90,0.15786041439095216,5.502286534325699,0.7893461585044861,9.878627283964306,9.110577554241209,8093.625,10444.0
kitti,2011_09_26_drive_0079_sync_02,K4,k4,0,90,0.11838698361667199,4.638461968121079,0.9090430736541748,9.864034098001866,9.124056051086754,8093.64453125,10446.0
kitti,2011_09_26_drive_0079_sync_02,Uniform-4,anchor_uniform4,0,90,0.1381572616544943,5.094351334090756,0.850154459476471,10.014134478988126,8.987296924046701,8093.625,10446.0
kitti,2011_09_26_drive_0079_sync_02,Random-4 (seed 0),random4_seed0,0,90,0.13467258191735654,5.573315418883774,0.8787657022476196,10.058460871921852,8.947691018139226,8093.625,10446.0
