dataset,metric,proposed,control,n_pairs,mean_proposed,mean_control,mean_advantage_proposed,ci95_low,ci95_high,wins_proposed,ties,losses_proposed,bootstrap_samples
bonn,abs_rel,K4,Recent-4,5,0.07582782782162342,0.12101156794316018,0.04518374012153674,0.019452467204647148,0.07039997613222082,5,0,0,10000
bonn,abs_rel,K4,Anchor+Recent-4,5,0.07582782782162342,0.09651272434440908,0.02068489652278565,0.011533398022790358,0.029430126198993063,5,0,0,10000
bonn,abs_rel,K4,Uniform-4,5,0.07582782782162342,0.08578075037212485,0.009952922550501408,0.005780954271593221,0.014261222930834599,5,0,0,10000
bonn,abs_rel,K4,Random-4 (three-seed mean),5,0.07582782782162342,0.0856867922094745,0.009858964387851079,0.0015734644409803335,0.019097253381153232,4,0,1,10000
sintel,abs_rel,K4,Recent-4,23,0.4045752761480601,0.533130356475063,0.12855508032700289,0.02715920418014993,0.2924439255755556,16,0,7,10000
sintel,abs_rel,K4,Anchor+Recent-4,23,0.4045752761480601,0.4236959201162276,0.01912064396816751,0.003030313802478108,0.035792467164118644,18,0,5,10000
sintel,abs_rel,K4,Uniform-4,23,0.4045752761480601,0.4307765481264695,0.026201271978409393,0.0016343997265009778,0.06606482277502833,17,0,6,10000
sintel,abs_rel,K4,Random-4 (three-seed mean),23,0.4045752761480601,0.4598845153831053,0.05530923923504525,0.008865265947753097,0.12606349778159157,15,0,8,10000
kitti,abs_rel,K4,Recent-4,13,0.13075917920512523,0.1364723027384245,0.005713123533299271,-0.02043465831048323,0.031682560026252735,7,0,6,10000
kitti,abs_rel,K4,Anchor+Recent-4,13,0.13075917920512523,0.17836072158936778,0.04760154238424255,0.03414654474498931,0.060294932352099456,13,0,0,10000
kitti,abs_rel,K4,Uniform-4,13,0.13075917920512523,0.1558399634490028,0.025080784243877566,0.016973989436731014,0.03276664301993751,12,0,1,10000
kitti,abs_rel,K4,Random-4 (three-seed mean),13,0.13075917920512523,0.12477616175137733,-0.005983017453747901,-0.023604026933237664,0.01255302046057811,6,0,7,10000
